ts,symbol,market_price_usd,oracle_price_usd,source
2022-05-07T00:00:00Z,stETH,2041.94,2041.94,fixture:steth_curve_archive_v1
2022-05-07T01:00:00Z,stETH,2044.82,2043.95,fixture:steth_curve_archive_v1
2022-05-07T02:00:00Z,stETH,2045.69,2045.17,fixture:steth_curve_archive_v1
2022-05-07T03:00:00Z,stETH,2043.42,2043.95,fixture:steth_curve_archive_v1
2022-05-07T04:00:00Z,stETH,2042.28,2042.78,fixture:steth_curve_archive_v1
2022-05-07T05:00:00Z,stETH,2034.42,2036.93,fixture:steth_curve_archive_v1
2022-05-07T06:00:00Z,stETH,2044.27,2042.07,fixture:steth_curve_archive_v1
2022-05-07T07:00:00Z,stETH,2041.09,2041.38,fixture:steth_curve_archive_v1
2022-05-07T08:00:00Z,stETH,2038.05,2039.05,fixture:steth_curve_archive_v1
2022-05-07T09:00:00Z,stETH,2041.65,2040.87,fixture:steth_curve_archive_v1
2022-05-07T10:00:00Z,stETH,2042.3,2041.87,fixture:steth_curve_archive_v1
2022-05-07T11:00:00Z,stETH,2038.41,2039.44,fixture:steth_curve_archive_v1
2022-05-07T12:00:00Z,stETH,2034.52,2036.0,fixture:steth_curve_archive_v1
2022-05-07T13:00:00Z,stETH,2039.03,2038.12,fixture:steth_curve_archive_v1
2022-05-07T14:00:00Z,stETH,2045.05,2042.97,fixture:steth_curve_archive_v1
2022-05-07T15:00:00Z,stETH,2034.12,2036.78,fixture:steth_curve_archive_v1
2022-05-07T16:00:00Z,stETH,2036.79,2036.79,fixture:steth_curve_archive_v1
2022-05-07T17:00:00Z,stETH,2036.4,2036.52,fixture:steth_curve_archive_v1
2022-05-07T18:00:00Z,stETH,2041.1,2039.72,fixture:steth_curve_archive_v1
2022-05-07T19:00:00Z,stETH,2045.61,2043.84,fixture:steth_curve_archive_v1
2022-05-07T20:00:00Z,stETH,2042.31,2042.77,fixture:steth_curve_archive_v1
2022-05-07T21:00:00Z,stETH,2034.37,2036.89,fixture:steth_curve_archive_v1
2022-05-07T22:00:00Z,stETH,2037.61,2037.39,fixture:steth_curve_archive_v1
2022-05-07T23:00:00Z,stETH,2040.8,2039.78,fixture:steth_curve_archive_v1
2022-05-08T00:00:00Z,stETH,2045.78,2043.98,fixture:steth_curve_archive_v1
2022-05-08T01:00:00Z,stETH,2039.75,2041.02,fixture:steth_curve_archive_v1
2022-05-08T02:00:00Z,stETH,2040.93,2040.96,fixture:steth_curve_archive_v1
2022-05-08T03:00:00Z,stETH,2045.88,2044.4,fixture:steth_curve_archive_v1
2022-05-08T04:00:00Z,stETH,2042.0,2042.72,fixture:steth_curve_archive_v1
2022-05-08T05:00:00Z,stETH,2042.29,2042.42,fixture:steth_curve_archive_v1
2022-05-08T06:00:00Z,stETH,2050.03,2047.74,fixture:steth_curve_archive_v1
2022-05-08T07:00:00Z,stETH,2029.86,2035.23,fixture:steth_curve_archive_v1
2022-05-08T08:00:00Z,stETH,2044.19,2041.5,fixture:steth_curve_archive_v1
2022-05-08T09:00:00Z,stETH,2030.95,2034.11,fixture:steth_curve_archive_v1
2022-05-08T10:00:00Z,stETH,2040.64,2038.68,fixture:steth_curve_archive_v1
2022-05-08T11:00:00Z,stETH,2034.42,2035.7,fixture:steth_curve_archive_v1
2022-05-08T12:00:00Z,stETH,2039.89,2038.64,fixture:steth_curve_archive_v1
2022-05-08T13:00:00Z,stETH,2040.15,2039.7,fixture:steth_curve_archive_v1
2022-05-08T14:00:00Z,stETH,2045.42,2043.7,fixture:steth_curve_archive_v1
2022-05-08T15:00:00Z,stETH,2041.68,2042.29,fixture:steth_curve_archive_v1
2022-05-08T16:00:00Z,stETH,2046.76,2045.42,fixture:steth_curve_archive_v1
2022-05-08T17:00:00Z,stETH,2037.23,2039.69,fixture:steth_curve_archive_v1
2022-05-08T18:00:00Z,stETH,2037.17,2037.93,fixture:steth_curve_archive_v1
2022-05-08T19:00:00Z,stETH,2038.41,2038.26,fixture:steth_curve_archive_v1
2022-05-08T20:00:00Z,stETH,2046.17,2043.8,fixture:steth_curve_archive_v1
2022-05-08T21:00:00Z,stETH,2048.95,2047.4,fixture:steth_curve_archive_v1
2022-05-08T22:00:00Z,stETH,2040.35,2042.46,fixture:steth_curve_archive_v1
2022-05-08T23:00:00Z,stETH,2039.14,2040.14,fixture:steth_curve_archive_v1
2022-05-09T00:00:00Z,stETH,2033.85,2035.73,fixture:steth_curve_archive_v1
2022-05-09T01:00:00Z,stETH,2037.29,2036.83,fixture:steth_curve_archive_v1
2022-05-09T02:00:00Z,stETH,2041.51,2040.1,fixture:steth_curve_archive_v1
2022-05-09T03:00:00Z,stETH,2039.56,2039.73,fixture:steth_curve_archive_v1
2022-05-09T04:00:00Z,stETH,2042.03,2041.34,fixture:steth_curve_archive_v1
2022-05-09T05:00:00Z,stETH,2037.21,2038.45,fixture:steth_curve_archive_v1
2022-05-09T06:00:00Z,stETH,2038.04,2038.16,fixture:steth_curve_archive_v1
2022-05-09T07:00:00Z,stETH,2046.28,2043.84,fixture:steth_curve_archive_v1
2022-05-09T08:00:00Z,stETH,2049.97,2048.13,fixture:steth_curve_archive_v1
2022-05-09T09:00:00Z,stETH,2042.94,2044.5,fixture:steth_curve_archive_v1
2022-05-09T10:00:00Z,stETH,2038.53,2040.32,fixture:steth_curve_archive_v1
2022-05-09T11:00:00Z,stETH,2037.08,2038.05,fixture:steth_curve_archive_v1
2022-05-09T12:00:00Z,stETH,2037.83,2037.89,fixture:steth_curve_archive_v1
2022-05-09T13:00:00Z,stETH,2040.4,2039.65,fixture:steth_curve_archive_v1
2022-05-09T14:00:00Z,stETH,2038.31,2038.71,fixture:steth_curve_archive_v1
2022-05-09T15:00:00Z,stETH,2037.87,2038.12,fixture:steth_curve_archive_v1
2022-05-09T16:00:00Z,stETH,2034.85,2035.83,fixture:steth_curve_archive_v1
2022-05-09T17:00:00Z,stETH,2028.91,2030.99,fixture:steth_curve_archive_v1
2022-05-09T18:00:00Z,stETH,2029.79,2030.15,fixture:steth_curve_archive_v1
2022-05-09T19:00:00Z,stETH,2034.72,2033.35,fixture:steth_curve_archive_v1
2022-05-09T20:00:00Z,stETH,2026.22,2028.36,fixture:steth_curve_archive_v1
2022-05-09T21:00:00Z,stETH,2025.13,2026.1,fixture:steth_curve_archive_v1
2022-05-09T22:00:00Z,stETH,2023.48,2024.27,fixture:steth_curve_archive_v1
2022-05-09T23:00:00Z,stETH,2016.94,2019.14,fixture:steth_curve_archive_v1
2022-05-10T00:00:00Z,stETH,2015.88,2016.86,fixture:steth_curve_archive_v1
2022-05-10T01:00:00Z,stETH,2017.95,2017.62,fixture:steth_curve_archive_v1
2022-05-10T02:00:00Z,stETH,2010.98,2012.97,fixture:steth_curve_archive_v1
2022-05-10T03:00:00Z,stETH,2013.64,2013.44,fixture:steth_curve_archive_v1
2022-05-10T04:00:00Z,stETH,2007.96,2009.6,fixture:steth_curve_archive_v1
2022-05-10T05:00:00Z,stETH,2019.03,2016.2,fixture:steth_curve_archive_v1
2022-05-10T06:00:00Z,stETH,2014.58,2015.06,fixture:steth_curve_archive_v1
2022-05-10T07:00:00Z,stETH,2010.55,2011.9,fixture:steth_curve_archive_v1
2022-05-10T08:00:00Z,stETH,2000.77,2004.11,fixture:steth_curve_archive_v1
2022-05-10T09:00:00Z,stETH,2004.99,2004.73,fixture:steth_curve_archive_v1
2022-05-10T10:00:00Z,stETH,2008.16,2007.13,fixture:steth_curve_archive_v1
2022-05-10T11:00:00Z,stETH,1997.17,2000.16,fixture:steth_curve_archive_v1
2022-05-10T12:00:00Z,stETH,1996.81,1997.82,fixture:steth_curve_archive_v1
2022-05-10T13:00:00Z,stETH,1997.44,1997.55,fixture:steth_curve_archive_v1
2022-05-10T14:00:00Z,stETH,1992.47,1993.99,fixture:steth_curve_archive_v1
2022-05-10T15:00:00Z,stETH,1998.94,1997.45,fixture:steth_curve_archive_v1
2022-05-10T16:00:00Z,stETH,1991.61,1993.36,fixture:steth_curve_archive_v1
2022-05-10T17:00:00Z,stETH,1996.13,1995.3,fixture:steth_curve_archive_v1
2022-05-10T18:00:00Z,stETH,1990.45,1991.9,fixture:steth_curve_archive_v1
2022-05-10T19:00:00Z,stETH,1988.65,1989.62,fixture:steth_curve_archive_v1
2022-05-10T20:00:00Z,stETH,1984.85,1986.28,fixture:steth_curve_archive_v1
2022-05-10T21:00:00Z,stETH,1982.47,1983.61,fixture:steth_curve_archive_v1
2022-05-10T22:00:00Z,stETH,1982.24,1982.65,fixture:steth_curve_archive_v1
2022-05-10T23:00:00Z,stETH,1975.68,1977.77,fixture:steth_curve_archive_v1
2022-05-11T00:00:00Z,stETH,1989.88,1986.25,fixture:steth_curve_archive_v1
2022-05-11T01:00:00Z,stETH,1978.67,1980.94,fixture:steth_curve_archive_v1
2022-05-11T02:00:00Z,stETH,1973.02,1975.4,fixture:steth_curve_archive_v1
2022-05-11T03:00:00Z,stETH,1976.34,1976.06,fixture:steth_curve_archive_v1
2022-05-11T04:00:00Z,stETH,1974.46,1974.94,fixture:steth_curve_archive_v1
2022-05-11T05:00:00Z,stETH,1971.76,1972.71,fixture:steth_curve_archive_v1
2022-05-11T06:00:00Z,stETH,1969.41,1970.4,fixture:steth_curve_archive_v1
2022-05-11T07:00:00Z,stETH,1962.05,1964.55,fixture:steth_curve_archive_v1
2022-05-11T08:00:00Z,stETH,1968.09,1967.03,fixture:steth_curve_archive_v1
2022-05-11T09:00:00Z,stETH,1963.21,1964.36,fixture:steth_curve_archive_v1
2022-05-11T10:00:00Z,stETH,1962.93,1963.36,fixture:steth_curve_archive_v1
2022-05-11T11:00:00Z,stETH,1963.73,1963.62,fixture:steth_curve_archive_v1
2022-05-11T12:00:00Z,stETH,1956.54,1958.66,fixture:steth_curve_archive_v1
2022-05-11T13:00:00Z,stETH,1957.75,1958.02,fixture:steth_curve_archive_v1
2022-05-11T14:00:00Z,stETH,1960.89,1960.03,fixture:steth_curve_archive_v1
2022-05-11T15:00:00Z,stETH,1960.03,1960.03,fixture:steth_curve_archive_v1
2022-05-11T16:00:00Z,stETH,1951.79,1954.26,fixture:steth_curve_archive_v1
2022-05-11T17:00:00Z,stETH,1954.38,1954.35,fixture:steth_curve_archive_v1
2022-05-11T18:00:00Z,stETH,1947.95,1949.87,fixture:steth_curve_archive_v1
2022-05-11T19:00:00Z,stETH,1952.59,1951.78,fixture:steth_curve_archive_v1
2022-05-11T20:00:00Z,stETH,1949.43,1950.13,fixture:steth_curve_archive_v1
2022-05-11T21:00:00Z,stETH,1947.62,1948.37,fixture:steth_curve_archive_v1
2022-05-11T22:00:00Z,stETH,1940.63,1942.96,fixture:steth_curve_archive_v1
2022-05-11T23:00:00Z,stETH,1942.39,1942.56,fixture:steth_curve_archive_v1
2022-05-12T00:00:00Z,stETH,1938.97,1940.05,fixture:steth_curve_archive_v1
2022-05-12T01:00:00Z,stETH,1948.19,1945.75,fixture:steth_curve_archive_v1
2022-05-12T02:00:00Z,stETH,1940.5,1942.07,fixture:steth_curve_archive_v1
2022-05-12T03:00:00Z,stETH,1937.87,1939.13,fixture:steth_curve_archive_v1
2022-05-12T04:00:00Z,stETH,1934.05,1935.58,fixture:steth_curve_archive_v1
2022-05-12T05:00:00Z,stETH,1940.29,1938.87,fixture:steth_curve_archive_v1
2022-05-12T06:00:00Z,stETH,1932.35,1934.31,fixture:steth_curve_archive_v1
2022-05-12T07:00:00Z,stETH,1932.67,1933.16,fixture:steth_curve_archive_v1
2022-05-12T08:00:00Z,stETH,1931.07,1931.7,fixture:steth_curve_archive_v1
2022-05-12T09:00:00Z,stETH,1924.0,1926.31,fixture:steth_curve_archive_v1
2022-05-12T10:00:00Z,stETH,1924.78,1925.24,fixture:steth_curve_archive_v1
2022-05-12T11:00:00Z,stETH,1929.84,1928.46,fixture:steth_curve_archive_v1
2022-05-12T12:00:00Z,stETH,1936.22,1933.89,fixture:steth_curve_archive_v1
2022-05-12T13:00:00Z,stETH,1921.8,1925.43,fixture:steth_curve_archive_v1
2022-05-12T14:00:00Z,stETH,1926.95,1926.49,fixture:steth_curve_archive_v1
2022-05-12T15:00:00Z,stETH,1926.78,1926.69,fixture:steth_curve_archive_v1
2022-05-12T16:00:00Z,stETH,1931.79,1930.26,fixture:steth_curve_archive_v1
2022-05-12T17:00:00Z,stETH,1925.43,1926.88,fixture:steth_curve_archive_v1
2022-05-12T18:00:00Z,stETH,1930.14,1929.16,fixture:steth_curve_archive_v1
2022-05-12T19:00:00Z,stETH,1931.15,1930.55,fixture:steth_curve_archive_v1
2022-05-12T20:00:00Z,stETH,1935.58,1934.07,fixture:steth_curve_archive_v1
2022-05-12T21:00:00Z,stETH,1932.63,1933.07,fixture:steth_curve_archive_v1
2022-05-12T22:00:00Z,stETH,1933.36,1933.27,fixture:steth_curve_archive_v1
2022-05-12T23:00:00Z,stETH,1939.25,1937.46,fixture:steth_curve_archive_v1
2022-05-13T00:00:00Z,stETH,1932.5,1933.98,fixture:steth_curve_archive_v1
2022-05-13T01:00:00Z,stETH,1935.56,1935.09,fixture:steth_curve_archive_v1
2022-05-13T02:00:00Z,stETH,1939.78,1938.37,fixture:steth_curve_archive_v1
2022-05-13T03:00:00Z,stETH,1931.42,1933.51,fixture:steth_curve_archive_v1
2022-05-13T04:00:00Z,stETH,1938.56,1937.05,fixture:steth_curve_archive_v1
2022-05-13T05:00:00Z,stETH,1934.47,1935.24,fixture:steth_curve_archive_v1
2022-05-13T06:00:00Z,stETH,1938.01,1937.18,fixture:steth_curve_archive_v1
2022-05-13T07:00:00Z,stETH,1942.63,1941.0,fixture:steth_curve_archive_v1
2022-05-13T08:00:00Z,stETH,1940.98,1940.99,fixture:steth_curve_archive_v1
2022-05-13T09:00:00Z,stETH,1938.34,1939.14,fixture:steth_curve_archive_v1
2022-05-13T10:00:00Z,stETH,1941.2,1940.58,fixture:steth_curve_archive_v1
2022-05-13T11:00:00Z,stETH,1944.87,1943.59,fixture:steth_curve_archive_v1
2022-05-13T12:00:00Z,stETH,1936.9,1938.9,fixture:steth_curve_archive_v1
2022-05-13T13:00:00Z,stETH,1932.03,1934.09,fixture:steth_curve_archive_v1
2022-05-13T14:00:00Z,stETH,1943.28,1940.52,fixture:steth_curve_archive_v1
2022-05-13T15:00:00Z,stETH,1947.05,1945.09,fixture:steth_curve_archive_v1
2022-05-13T16:00:00Z,stETH,1940.93,1942.18,fixture:steth_curve_archive_v1
2022-05-13T17:00:00Z,stETH,1948.34,1946.49,fixture:steth_curve_archive_v1
