ts,symbol,market_price_usd,oracle_price_usd,source
2023-03-08T00:00:00Z,USDC,0.998,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-08T01:00:00Z,USDC,0.9994,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-08T02:00:00Z,USDC,1.0005,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-08T03:00:00Z,USDC,1.0014,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-08T04:00:00Z,USDC,0.9976,0.9999,fixture:usdc_depeg_chainlink_archive
2023-03-08T05:00:00Z,USDC,0.997,0.9997,fixture:usdc_depeg_chainlink_archive
2023-03-08T06:00:00Z,USDC,0.9991,0.9997,fixture:usdc_depeg_chainlink_archive
2023-03-08T07:00:00Z,USDC,1.0005,0.9997,fixture:usdc_depeg_chainlink_archive
2023-03-08T08:00:00Z,USDC,1.0008,0.9998,fixture:usdc_depeg_chainlink_archive
2023-03-08T09:00:00Z,USDC,0.9998,0.9998,fixture:usdc_depeg_chainlink_archive
2023-03-08T10:00:00Z,USDC,0.9998,0.9998,fixture:usdc_depeg_chainlink_archive
2023-03-08T11:00:00Z,USDC,0.9991,0.9998,fixture:usdc_depeg_chainlink_archive
2023-03-08T12:00:00Z,USDC,1.0012,0.9998,fixture:usdc_depeg_chainlink_archive
2023-03-08T13:00:00Z,USDC,0.9984,0.9998,fixture:usdc_depeg_chainlink_archive
2023-03-08T14:00:00Z,USDC,1.0013,0.9998,fixture:usdc_depeg_chainlink_archive
2023-03-08T15:00:00Z,USDC,1.0024,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-08T16:00:00Z,USDC,0.9984,0.9999,fixture:usdc_depeg_chainlink_archive
2023-03-08T17:00:00Z,USDC,0.9975,0.9998,fixture:usdc_depeg_chainlink_archive
2023-03-08T18:00:00Z,USDC,0.9994,0.9997,fixture:usdc_depeg_chainlink_archive
2023-03-08T19:00:00Z,USDC,1.0063,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-08T20:00:00Z,USDC,1.0022,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-08T21:00:00Z,USDC,1.0013,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-08T22:00:00Z,USDC,1.0001,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-08T23:00:00Z,USDC,1.003,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T00:00:00Z,USDC,1.0027,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T01:00:00Z,USDC,0.9998,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T02:00:00Z,USDC,1.0042,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T03:00:00Z,USDC,1.0001,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T04:00:00Z,USDC,0.9983,0.9999,fixture:usdc_depeg_chainlink_archive
2023-03-09T05:00:00Z,USDC,1.0011,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T06:00:00Z,USDC,1.0006,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T07:00:00Z,USDC,1.0026,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T08:00:00Z,USDC,0.9993,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T09:00:00Z,USDC,1.0009,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T10:00:00Z,USDC,1.0026,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T11:00:00Z,USDC,1.0017,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-09T12:00:00Z,USDC,0.9981,0.9999,fixture:usdc_depeg_chainlink_archive
2023-03-09T13:00:00Z,USDC,0.9977,0.9998,fixture:usdc_depeg_chainlink_archive
2023-03-09T14:00:00Z,USDC,0.9968,0.9996,fixture:usdc_depeg_chainlink_archive
2023-03-09T15:00:00Z,USDC,0.9969,0.9995,fixture:usdc_depeg_chainlink_archive
2023-03-09T16:00:00Z,USDC,1.0003,0.9996,fixture:usdc_depeg_chainlink_archive
2023-03-09T17:00:00Z,USDC,0.9986,0.9995,fixture:usdc_depeg_chainlink_archive
2023-03-09T18:00:00Z,USDC,1.001,0.9996,fixture:usdc_depeg_chainlink_archive
2023-03-09T19:00:00Z,USDC,0.996,0.9994,fixture:usdc_depeg_chainlink_archive
2023-03-09T20:00:00Z,USDC,1.0002,0.9994,fixture:usdc_depeg_chainlink_archive
2023-03-09T21:00:00Z,USDC,0.9972,0.9993,fixture:usdc_depeg_chainlink_archive
2023-03-09T22:00:00Z,USDC,1.0,0.9994,fixture:usdc_depeg_chainlink_archive
2023-03-09T23:00:00Z,USDC,1.0002,0.9994,fixture:usdc_depeg_chainlink_archive
2023-03-10T00:00:00Z,USDC,0.9965,0.9993,fixture:usdc_depeg_chainlink_archive
2023-03-10T01:00:00Z,USDC,1.0004,0.9993,fixture:usdc_depeg_chainlink_archive
2023-03-10T02:00:00Z,USDC,1.0026,0.9995,fixture:usdc_depeg_chainlink_archive
2023-03-10T03:00:00Z,USDC,0.9984,0.9994,fixture:usdc_depeg_chainlink_archive
2023-03-10T04:00:00Z,USDC,0.9978,0.9993,fixture:usdc_depeg_chainlink_archive
2023-03-10T05:00:00Z,USDC,0.9989,0.9993,fixture:usdc_depeg_chainlink_archive
2023-03-10T06:00:00Z,USDC,1.0017,0.9994,fixture:usdc_depeg_chainlink_archive
2023-03-10T07:00:00Z,USDC,1.0018,0.9996,fixture:usdc_depeg_chainlink_archive
2023-03-10T08:00:00Z,USDC,1.0026,0.9997,fixture:usdc_depeg_chainlink_archive
2023-03-10T09:00:00Z,USDC,0.9984,0.9996,fixture:usdc_depeg_chainlink_archive
2023-03-10T10:00:00Z,USDC,1.0001,0.9997,fixture:usdc_depeg_chainlink_archive
2023-03-10T11:00:00Z,USDC,1.0014,0.9998,fixture:usdc_depeg_chainlink_archive
2023-03-10T12:00:00Z,USDC,1.0029,0.9999,fixture:usdc_depeg_chainlink_archive
2023-03-10T13:00:00Z,USDC,1.0032,1.0,fixture:usdc_depeg_chainlink_archive
2023-03-10T14:00:00Z,USDC,0.996,0.9998,fixture:usdc_depeg_chainlink_archive
2023-03-10T15:00:00Z,USDC,1.0012,0.9999,fixture:usdc_depeg_chainlink_archive
2023-03-10T16:00:00Z,USDC,0.9997,0.9999,fixture:usdc_depeg_chainlink_archive
2023-03-10T17:00:00Z,USDC,0.9981,0.9998,fixture:usdc_depeg_chainlink_archive
